Date,SGE.L,VOD.L,ELCO.L,BT-A.L,GBG.L,HSBA.L,BARC.L,SDR.L,NWG.L,STJ.L,TSCO.L,SBRY.L,BP.L,RR.L,BA.L
1998-06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-06-24,-0.10293003674272318,-0.019544549190779876,-0.0,-0.02268580738296645,-0.0,0.005460818138178696,-0.0029160740402526045,0.048535938432741114,-0.0,-0.0014673087423920424,0.008736827702964864,-0.02218219388685056,-0.025605418881970838,0.006067440228205914,0.035959149574685385
1998-06-25,-0.04006241799569935,-0.0025774010546549125,-0.0,0.011951178030928903,0.03390157095118192,-0.057842773272156464,-0.00927546671256354,-0.04532923467937406,0.02965296267316621,-0.0,-0.021694046903107982,-0.025271583585518367,0.016997261437548285,0.043530491655183114,0.01614801974931221
1998-06-26,0.04738849972154294,0.00904990013582848,-0.0,-0.003336810525356346,-0.0,0.011697127349690067,-0.009761924380472985,-0.003206703753366967,0.00877639899754432,0.00440857540808964,0.007755229032947352,0.011653601509222603,-0.012493209309812856,-0.012631769185684191,0.0023283228047511315
1998-06-29,-0.0,0.010443626584223218,-0.0,0.007337919983393461,-0.0,0.003271196985477469,0.008608734239170917,-0.03398725163157429,-0.007804834164657985,0.005908263620169626,-0.016300361910273387,0.015447724608895635,0.00225965640976955,-0.01865374553500988,-0.09021174889021959
1998-06-30,0.005899514295467907,0.0019709997673430023,-0.0,0.008079913579144265,0.04706751627680127,0.002628026696062777,0.004042825778656026,0.04427861877899147,-0.01063314358001406,0.03620332953167362,0.004262727345453072,0.022223053942982737,0.011376836405516004,-0.01629408519629629,0.022618266854113698
1998-07-01,0.004447588903202041,-0.045623051060904085,-0.0,-0.0067281123254200395,-0.0,-0.03742510031358106,0.002897222427404957,-0.028062345476151128,0.002888601241514183,-0.0030679418490508047,0.003426034697987025,-0.02038938361020313,-0.02597511604598052,-0.025923694647800644,-0.030045056371892104
1998-07-02,0.036312794631110715,-0.02848496038915676,-0.0,-0.026497584764903253,-0.0,0.011464897926999146,-0.0028972224274048867,-0.024840458409172636,-0.001926610354092128,-0.006106258798130014,-0.005132080216739331,-0.011856605771680608,-0.014388867905115878,-0.022385347825075112,-0.02814151396195382
1998-07-03,-0.01225149328169285,-0.009720711240856402,-0.0,-0.008463366658220438,-0.0,-0.005748822744589179,-0.0028896356373539715,0.001226704589119892,0.014541876798595598,-0.0,-0.023610781056162003,-0.0,0.011049878545444787,-0.03126685667474588,-0.02336320440320025
1998-07-06,-0.0015208588913305104,0.004848239116905726,-0.0,-0.024955181125008895,-0.0,0.008316049622845,-0.0,-0.002450769835158775,0.011788294691456183,0.00610625879813006,-0.00993051190396924,0.00272410982160565,0.008928578887939513,0.011257255636480588,0.024391278917494146
1998-07-07,-0.01208469659222311,-0.01387651714342076,-0.0,-0.017544722125107,-0.0,0.007736975629511764,0.0034681820534798145,-0.004287900148139924,0.00495259148746439,0.012326721268619492,0.025063796852377185,0.001819682557061046,0.004494363309278555,0.007575066130181173,-0.008196535402650137
1998-07-08,-0.0,0.02241821782161313,-0.0,-0.0,-0.0,-0.015414549761031755,-0.0046213721947818585,0.00981466568164287,-0.002974606656378459,-0.0,0.01534586898115113,0.0009110132480555984,0.006779647120624743,0.022105726785050135,-0.002038851762270395
1998-07-09,-0.0,0.04768815028658392,-0.0,0.0018583790910363374,0.03681385526348606,0.015414549761031767,-0.03009049557951712,0.0006107590169016382,0.009950380845795371,0.010912636025056264,0.0051677692165258285,0.03431047933936294,0.00796823258233599,0.0038950812779793625,0.024743352191194536
1998-07-10,-0.013422926335165997,-0.00832014554117314,-0.0,0.027122801331299632,-0.0,0.024238764223023738,-0.00502055285485075,-0.032149366457403995,0.012072530767268599,0.02058621898790341,0.010416888072777701,-0.02607243063092432,0.013809002445686887,-0.010674333870227511,0.030739062178601673
1998-07-13,-0.0029583269662840305,-0.016435242958781834,0.018018458219988102,0.0012896908305590953,-0.012422640767877304,-0.014481988025749735,-0.020381040243641405,0.021119515173666906,-0.011071962200500433,-0.0031945137140566415,0.0026209014329571768,0.0009193902598617177,0.016944446578371422,-0.0,-0.019190260927568814
